accuracy	additional_scores	cv_folds	end_timestamp	experiment_name	feature_scaling	featureset	featureset_name	fold	folds_file	grid_objective	grid_score	grid_search	grid_search_cv_results	grid_search_folds	learner_name	min_feature_count	model_params	pearson	save_cv_folds	save_cv_models	scikit_learn_version	score	shuffle	start_timestamp	stratified_folds	task	test_set_name	test_set_size	total_time	train_set_name	train_set_size	use_folds_file_for_grid_search	using_folds_file	version
0.875	{}	None	11 Jan 2025 19:59:06.776449	wine	both	"[""features""]"	features				0.0	False		5	KNeighborsClassifier	1	"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}"		True	False	0.24.2		True	11 Jan 2025 19:59:06.743143	True	evaluate	test	24	0:00:00.033306	train	94	True	False	2.5.0
0.875	{}	None	11 Jan 2025 19:59:06.799628	wine	both	"[""features""]"	features				0.0	False		5	LogisticRegression	1	"{""C"": 1.0, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 1000, ""multi_class"": ""auto"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": 123456789, ""solver"": ""liblinear"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}"		True	False	0.24.2		True	11 Jan 2025 19:59:06.777796	True	evaluate	test	24	0:00:00.021832	train	94	True	False	2.5.0
0.7083333333333334	{}	None	11 Jan 2025 19:59:06.821360	wine	both	"[""features""]"	features				0.0	False		5	DecisionTreeClassifier	1	"{""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""random_state"": 123456789, ""splitter"": ""best""}"		True	False	0.24.2		True	11 Jan 2025 19:59:06.800796	True	evaluate	test	24	0:00:00.020564	train	94	True	False	2.5.0
0.9583333333333334	{}	None	11 Jan 2025 19:59:07.481605	wine	both	"[""features""]"	features				0.0	False		5	RandomForestClassifier	1	"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 123456789, ""verbose"": 0, ""warm_start"": false}"		True	False	0.24.2		True	11 Jan 2025 19:59:06.822533	True	evaluate	test	24	0:00:00.659072	train	94	True	False	2.5.0
